id_x,date,client_id,card_id,amount,use_chip,merchant_id,merchant_city,merchant_state,zip,mcc,errors,amount_rupiah,id_y,current_age,retirement_age,birth_year,birth_month,gender,address,latitude,longitude,per_capita_income,yearly_income,total_debt,credit_score,num_credit_cards,is_fraud,monthly_spending,avg_transaction,transaction_frequency,budget,budget_usage,user_category,user_category_encoded,warning
9142045,2011-02-11 12:21:00,1435.0,4294.0,0.49,Swipe Transaction,86438.0,Alpharetta,GA,30004.0,5499.0,Insufficient Balance,7840,1435,41,78,1978,10,Female,9872 Lexington Street,34.06,-84.27,$45132,$92017,$157723,703,3,1,7840,7840.0,1,5000000,0.1568,Hemat,1,Aman
7799315,2010-03-23 21:09:00,1720.0,2492.0,25.52,Swipe Transaction,20561.0,Fort Worth,TX,76119.0,5912.0,Insufficient Balance,408320,1720,55,60,1964,5,Female,4941 Ocean View Drive,32.75,-97.33,$12175,$24827,$60261,590,1,1,408320,408320.0,1,5000000,8.1664,Hemat,1,Aman
9855079,2011-07-28 04:51:00,301.0,3742.0,103.06,Swipe Transaction,48919.0,Canton,GA,30114.0,5311.0,Insufficient Balance,1648960,301,47,69,1972,11,Male,6009 River Avenue,34.24,-84.49,$25654,$52308,$135319,679,1,1,1648960,1648960.0,1,5000000,32.9792,Hemat,1,Aman
7606781,2010-02-03 14:06:00,890.0,5799.0,120.0,Swipe Transaction,27092.0,Corona,CA,92880.0,4829.0,Insufficient Balance,1920000,890,37,66,1983,1,Female,911 Ocean Boulevard,33.87,-117.89,$25592,$52181,$26792,727,2,1,1920000,1920000.0,1,5000000,38.4,Hemat,1,Aman
7684896,2010-02-23 07:59:00,354.0,3657.0,32.44,Swipe Transaction,48516.0,Colorado Springs,CO,80918.0,5912.0,Bad PIN,519040,354,77,72,1942,8,Female,9 Plum Boulevard,38.86,-104.76,$22185,$31942,$11845,713,6,1,519040,519040.0,1,5000000,10.380799999999999,Hemat,1,Aman
9330830,2011-03-28 07:04:00,954.0,5586.0,80.0,Swipe Transaction,27092.0,Riverside,CA,92508.0,4829.0,Insufficient Balance,1280000,954,51,65,1968,6,Male,691 Ocean View Street,33.93,-117.49,$18619,$37963,$102716,772,4,1,2560000,1280000.0,2,5000000,51.2,Normal,2,Aman
9644554,2011-06-09 10:25:00,456.0,4576.0,8.32,Swipe Transaction,59935.0,Cape Coral,FL,33910.0,5499.0,Technical Glitch,133120,456,54,63,1965,10,Male,600 Grant Lane,26.63,-81.99,$17140,$34947,$49024,751,3,1,133120,133120.0,1,5000000,2.6624,Hemat,1,Aman
7684693,2010-02-23 07:20:00,1424.0,4710.0,33.18,Swipe Transaction,26810.0,Sedona,AZ,86351.0,5541.0,Insufficient Balance,530880,1424,101,68,1918,5,Female,887 Third Boulevard,35.13,-112.99,$13086,$15348,$1396,761,4,1,-1021120,-510560.0,2,5000000,-20.4224,Hemat,1,Aman
8553887,2010-09-24 10:11:00,1888.0,1017.0,93.0,Swipe Transaction,59935.0,Salisbury,MD,21801.0,5499.0,Insufficient Balance,1488000,1888,75,59,1944,6,Female,7854 Plum Avenue,44.65,-93.17,$28429,$41513,$15899,748,3,1,1903840,634613.3333333334,3,5000000,38.0768,Hemat,1,Aman
9673250,2011-06-15 21:20:00,1169.0,4179.0,6.67,Swipe Transaction,10782.0,Round Rock,TX,78665.0,5813.0,Bad PIN,106720,1169,51,68,1968,11,Female,375 Hillside Drive,30.54,-97.64,$30358,$61901,$29627,726,7,1,106720,106720.0,1,5000000,2.1344,Hemat,1,Aman
