id,current_age,retirement_age,birth_year,birth_month,gender,address,latitude,longitude,per_capita_income,yearly_income,total_debt,credit_score,num_credit_cards,per_capita_income_rupiah,yearly_income_rupiah,total_debt_rupiah,kategori_user,credit_category
825,53,66,1966,11,Female,462 Rose Lane,34.15,-117.76,29278,59696,127613,787,5,468448000,955136000,2041808000,Boros,Very Good
1746,53,68,1966,12,Female,3606 Federal Boulevard,40.76,-73.74,37891,77254,191349,701,5,606256000,1236064000,3061584000,Boros,Good
1718,81,67,1938,11,Female,766 Third Drive,34.02,-117.89,22681,33483,196,698,5,362896000,535728000,3136000,Hemat,Good
708,63,63,1957,1,Female,3 Madison Street,40.71,-73.99,163145,249925,202328,722,4,2610320000,3998800000,3237248000,Boros,Good
1164,43,70,1976,9,Male,9620 Valley Stream Drive,37.76,-122.44,53797,109687,183855,675,1,860752000,1754992000,2941680000,Boros,Good
68,42,70,1977,10,Male,58 Birch Lane,41.55,-90.6,20599,41997,0,704,3,329584000,671952000,0,Normal,Good
1075,36,67,1983,12,Female,5695 Fifth Street,38.22,-85.74,25258,51500,102286,672,3,404128000,824000000,1636576000,Boros,Good
1711,26,67,1993,12,Male,1941 Ninth Street,45.51,-122.64,26790,54623,114711,728,1,428640000,873968000,1835376000,Boros,Good
1116,81,66,1938,7,Female,11 Spruce Avenue,40.32,-75.32,26273,42509,2895,755,5,420368000,680144000,46320000,Normal,Very Good
1752,34,60,1986,1,Female,887 Grant Street,29.97,-92.12,18730,38190,81262,810,1,299680000,611040000,1300192000,Normal,Excellent
192,27,66,1992,6,Male,888 Fifth Lane,38.65,-121.25,27548,56164,15224,761,2,440768000,898624000,243584000,Boros,Very Good
640,29,63,1990,9,Female,8677 Littlewood Lane,40.42,-104.74,22427,45727,94016,629,1,358832000,731632000,1504256000,Normal,Fair
1679,18,67,2002,1,Female,829 Fourth Boulevard,41.76,-71.48,33914,69149,89214,776,1,542624000,1106384000,1427424000,Boros,Very Good
1094,34,62,1985,10,Male,74786 Jefferson Drive,44.75,-85.6,20325,41442,78833,712,3,325200000,663072000,1261328000,Normal,Good
1590,48,62,1971,5,Female,781 East Street,29.45,-98.5,10059,20513,32509,599,1,160944000,328208000,520144000,Hemat,Fair
1660,41,68,1978,4,Female,40 Washington Drive,36.73,-102.51,11342,23123,5079,723,6,181472000,369968000,81264000,Hemat,Good
1747,54,71,1966,1,Male,3994 Hillside Drive,32.15,-94.79,17898,36497,38333,719,6,286368000,583952000,613328000,Normal,Good
153,76,71,1943,8,Female,172 Birch Street,35.29,-111.32,21950,27484,16803,660,4,351200000,439744000,268848000,Hemat,Fair
429,22,68,1997,11,Male,8145 Spruce Boulevard,35.19,-80.83,26481,53995,89056,683,3,423696000,863920000,1424896000,Boros,Good
511,66,68,1953,10,Male,153 Tenth Lane,32.21,-110.88,17460,35602,55369,661,5,279360000,569632000,885904000,Normal,Fair
309,28,57,1991,8,Male,2473 Lake Avenue,32.07,-82.91,12321,25122,43205,819,3,197136000,401952000,691280000,Hemat,Excellent
777,18,65,2002,1,Male,970 Essex Drive,37.37,-122.21,106305,216740,0,700,2,1700880000,3467840000,0,Boros,Good
1946,76,66,1943,6,Male,9186 Washington Avenue,41.47,-81.67,19524,41109,21486,698,2,312384000,657744000,343776000,Normal,Good
1674,70,64,1949,4,Male,5073 Wessex Avenue,35.49,-90.35,14172,26858,11245,712,2,226752000,429728000,179920000,Hemat,Good
482,45,65,1975,1,Male,195 Eighth Boulevard,42.39,-122.93,17131,34929,63849,714,1,274096000,558864000,1021584000,Hemat,Good
877,36,63,1983,8,Female,801 Mill Boulevard,33.44,-111.85,16829,34317,61826,610,3,269264000,549072000,989216000,Hemat,Fair
128,40,66,1979,4,Female,6914 Wessex Avenue,29.76,-95.38,15389,31377,59615,722,2,246224000,502032000,953840000,Hemat,Good
775,37,58,1982,9,Male,776 Norfolk Boulevard,34.17,-118.46,21402,43638,104052,627,1,342432000,698208000,1664832000,Normal,Fair
1536,41,67,1978,11,Male,2015 Bayview Avenue,36.15,-85.5,15955,32531,38260,766,2,255280000,520496000,612160000,Hemat,Very Good
140,37,72,1983,2,Female,108 Washington Street,36.28,-86.83,20657,42120,72801,739,4,330512000,673920000,1164816000,Normal,Good
1884,18,64,2001,5,Male,660 Seventh Drive,39.98,-82.98,28092,57281,89114,850,1,449472000,916496000,1425824000,Boros,Excellent
1874,49,66,1970,9,Male,7505 Tenth Boulevard,25.77,-80.2,18828,38390,87923,783,4,301248000,614240000,1406768000,Normal,Very Good
1310,33,69,1986,9,Female,4930 Birch Drive,33.92,-78.02,17498,35670,58182,751,2,279968000,570720000,930912000,Normal,Very Good
1689,21,66,1998,9,Female,93 Plum Lane,41.29,-72.36,30281,61746,154817,637,2,484496000,987936000,2477072000,Boros,Fair
379,47,65,1972,11,Female,837 Lincoln Avenue,30.68,-88.04,21331,43496,114563,765,3,341296000,695936000,1833008000,Normal,Very Good
34,41,55,1978,8,Male,7467 Spruce Drive,38.48,-121.34,25431,51854,72162,737,2,406896000,829664000,1154592000,Boros,Good
822,51,68,1968,4,Female,6323 Sussex Boulevard,32.61,-117.03,16942,34540,22641,793,5,271072000,552640000,362256000,Hemat,Very Good
1499,46,62,1973,11,Male,8738 Fourth Street,41.97,-88.14,20248,41287,88151,662,1,323968000,660592000,1410416000,Normal,Fair
1780,46,70,1973,10,Male,9344 Mill Drive,36.62,-121.82,18663,38054,63293,666,1,298608000,608864000,1012688000,Normal,Fair
1806,59,62,1961,2,Female,299 11th Street,42.31,-71.64,39418,80371,108499,822,1,630688000,1285936000,1735984000,Boros,Excellent
811,91,68,1929,2,Female,5492 Maple Drive,38.9,-94.68,51642,84694,2149,741,7,826272000,1355104000,34384000,Boros,Very Good
1844,79,72,1941,2,Male,829 Birch Boulevard,27.8,-97.39,23608,37503,14272,706,5,377728000,600048000,228352000,Normal,Good
1852,57,75,1962,12,Male,41011 Seventh Boulevard,33.27,-111.94,32056,65357,21844,685,4,512896000,1045712000,349504000,Boros,Good
1231,26,52,1994,1,Female,613 Little Creek Lane,26.41,-81.42,10819,22066,38967,842,1,173104000,353056000,623472000,Hemat,Excellent
970,42,66,1977,11,Male,1942 Rose Avenue,29.1,-81.0,21916,44681,42011,770,3,350656000,714896000,672176000,Normal,Very Good
381,26,69,1994,2,Male,5101 Birch Lane,38.72,-90.47,25163,51306,68198,675,1,402608000,820896000,1091168000,Boros,Good
1134,18,59,2002,2,Female,7 11th Drive,29.45,-98.5,12677,25847,46379,568,1,202832000,413552000,742064000,Hemat,Poor
1296,60,64,1959,11,Female,2468 Spruce Drive,28.7,-81.34,22896,46683,93126,788,5,366336000,746928000,1490016000,Normal,Very Good
1880,61,66,1958,11,Male,8001 Essex Boulevard,43.06,-87.96,15487,31579,52419,771,3,247792000,505264000,838704000,Hemat,Very Good
322,47,65,1972,10,Male,708 George Street,31.22,-84.21,13759,28055,12475,829,3,220144000,448880000,199600000,Hemat,Excellent
461,42,68,1977,12,Female,28 Hillside Boulevard,42.3,-83.48,32078,65403,80057,784,4,513248000,1046448000,1280912000,Boros,Very Good
1165,55,73,1964,11,Female,446 Birch Drive,36.37,-84.12,13522,27572,59404,797,1,216352000,441152000,950464000,Hemat,Very Good
1448,48,70,1971,12,Female,578 Maple Avenue,35.05,-82.09,18899,38539,0,850,3,302384000,616624000,0,Normal,Excellent
1288,41,57,1978,7,Female,14 Valley Drive,38.47,-81.81,18666,38059,68220,634,2,298656000,608944000,1091520000,Normal,Fair
1178,59,68,1960,11,Female,2475 Little Creek Boulevard,30.56,-97.86,25872,52754,38191,693,5,413952000,844064000,611056000,Boros,Good
1391,45,59,1975,2,Male,9604 Catherine Drive,40.72,-73.86,25109,51196,67164,631,4,401744000,819136000,1074624000,Boros,Fair
838,26,70,1993,7,Male,349 First Drive,33.78,-84.44,24382,49713,91776,763,1,390112000,795408000,1468416000,Boros,Very Good
54,21,68,1998,4,Female,7914 Essex Boulevard,41.66,-83.58,21660,44160,134173,696,3,346560000,706560000,2146768000,Normal,Good
1452,46,59,1973,5,Female,524 Ocean Drive,29.76,-95.38,95039,193773,241571,660,1,1520624000,3100368000,3865136000,Boros,Fair
1602,41,66,1979,2,Female,2079 Maple Drive,40.38,-77.88,14650,29864,44902,717,2,234400000,477824000,718432000,Hemat,Good
1938,22,67,1997,7,Male,295 Valley Drive,29.45,-98.5,28135,57367,115418,795,2,450160000,917872000,1846688000,Boros,Very Good
1492,63,58,1957,2,Female,2883 Ocean View Boulevard,47.32,-121.99,32697,56635,13015,786,8,523152000,906160000,208240000,Boros,Very Good
688,44,67,1975,3,Male,5125 Elm Drive,41.31,-111.96,23165,47227,151030,760,4,370640000,755632000,2416480000,Normal,Very Good
749,22,68,1997,10,Male,4098 Park Drive,32.75,-97.33,12051,24574,80667,674,3,192816000,393184000,1290672000,Hemat,Good
643,29,65,1991,1,Female,892 Spruce Street,40.69,-73.75,21283,43397,42168,697,2,340528000,694352000,674688000,Normal,Good
1219,28,72,1991,6,Female,9977 Oak Avenue,38.68,-76.17,28497,58105,70254,688,3,455952000,929680000,1124064000,Boros,Good
1198,82,67,1937,6,Male,79 South Boulevard,29.5,-97.44,15092,10869,1820,820,2,241472000,173904000,29120000,Hemat,Excellent
898,90,66,1929,6,Female,145 River Drive,40.59,-75.47,12427,19893,1712,566,3,198832000,318288000,27392000,Hemat,Poor
882,63,65,1956,8,Male,7605 Essex Boulevard,40.39,-82.47,18019,36743,71719,612,2,288304000,587888000,1147504000,Normal,Fair
348,49,70,1970,7,Female,480 Seventh Lane,40.22,-74.76,22747,46377,79980,719,3,363952000,742032000,1279680000,Normal,Good
633,36,69,1983,10,Female,5506 Fifth Boulevard,33.88,-118.27,24611,50179,110515,743,1,393776000,802864000,1768240000,Boros,Very Good
1493,30,65,1989,11,Male,136 Spruce Street,38.22,-122.55,26748,54537,121987,765,4,427968000,872592000,1951792000,Boros,Very Good
1161,23,66,1996,12,Male,306 First Drive,28.68,-81.51,24155,49255,6557,823,2,386480000,788080000,104912000,Boros,Excellent
217,42,65,1977,10,Male,272 Burns Boulevard,41.77,-87.82,15221,31031,21853,744,7,243536000,496496000,349648000,Hemat,Very Good
1877,65,66,1955,1,Male,190 Sixth Drive,32.92,-96.45,34659,70673,87605,714,4,554544000,1130768000,1401680000,Boros,Good
668,87,57,1932,10,Female,8569 Wessex Boulevard,33.52,-86.79,13263,16342,1758,747,5,212208000,261472000,28128000,Hemat,Very Good
533,22,65,1997,9,Male,385 Lexington Boulevard,32.71,-102.65,15183,30961,42597,677,1,242928000,495376000,681552000,Hemat,Good
203,58,67,1961,3,Female,407 Park Lane,32.9,-80.93,14864,30305,23392,776,3,237824000,484880000,374272000,Hemat,Very Good
1738,30,68,1989,3,Male,5142 Little Creek Street,35.67,-97.41,33736,68784,198417,696,4,539776000,1100544000,3174672000,Boros,Good
713,25,71,1994,8,Female,224 Mountain View Boulevard,48.19,-114.38,17040,34745,26503,691,4,272640000,555920000,424048000,Hemat,Good
1631,18,67,2001,11,Female,4735 Fifth Avenue,30.44,-91.12,31741,64715,174664,740,3,507856000,1035440000,2794624000,Boros,Very Good
1487,59,69,1961,2,Female,4793 North Street,40.69,-80.01,39464,80464,76261,727,3,631424000,1287424000,1220176000,Boros,Good
1265,18,67,2002,2,Female,72 El Camino Boulevard,40.43,-79.97,24400,49748,23161,748,1,390400000,795968000,370576000,Boros,Very Good
370,61,58,1958,11,Male,381 Fifth Lane,34.07,-117.62,16113,41904,12545,655,4,257808000,670464000,200720000,Normal,Fair
1014,54,70,1965,9,Female,393 Mountain View Lane,33.6,-117.82,96516,196784,437533,729,3,1544256000,3148544000,7000528000,Boros,Good
290,27,66,1992,3,Female,293 Wessex Street,42.4,-83.6,49458,100837,61377,687,2,791328000,1613392000,982032000,Boros,Good
985,32,65,1987,6,Male,7276 Fourth Drive,42.8,-83.71,25334,51654,95454,600,4,405344000,826464000,1527264000,Boros,Fair
135,64,69,1955,6,Female,327 Lafayette Boulevard,39.72,-82.59,18680,38088,51679,691,2,298880000,609408000,826864000,Normal,Good
307,18,69,2001,8,Male,2846 Lake Avenue,30.23,-92.81,18082,36866,0,680,2,289312000,589856000,0,Normal,Good
1783,52,70,1967,9,Male,2093 Ocean Street,37.78,-122.24,18443,37607,63689,749,5,295088000,601712000,1019024000,Normal,Very Good
1321,49,66,1970,10,Female,981 Fifth Boulevard,40.26,-103.79,16910,34480,58795,696,1,270560000,551680000,940720000,Hemat,Good
1511,43,66,1977,1,Male,18 Norfolk Boulevard,43.07,-89.38,23680,48279,114254,719,2,378880000,772464000,1828064000,Boros,Good
